title,artist,tempo,energy,danceability,loudness,valence
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,135,57,76,-9,14
Get Low (with Liam Payne),Zedd,108,93,72,-4,54
Kissing Strangers,DNCE,120,74,77,-6,86
Slow Hands,Niall Horan,86,42,74,-7,85
Younger Now,Miley Cyrus,122,87,55,-5,33
Body Moves,DNCE,102,69,65,-5,86
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,122,64,73,-7,53
Angel,Fifth Harmony,124,53,74,-6,13
Touch (feat. Kid Ink),Little Mix,102,75,64,-4,53
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,100,82,70,-5,67
Love Incredible (feat. Camila Cabello),Cashmere Cat,167,50,37,-9,21
No Vacancy (with Sebastián Yatra),OneRepublic,100,76,69,-4,59
Rich Boy,Galantis,110,90,74,-2,65
Lust for Life (with The Weeknd),Lana Del Rey,100,67,51,-9,27
